SYMBOL			FILE				LINE
BYTESPERLONG		libraries/dos.h			*29
BackFill		intuition/intuition.h		*124
BackPen			intuition/intuition.h		*296 *309
BarHBorder		intuition/intuition.h		*553
BarHeight		intuition/intuition.h		*553
BarLayer		intuition/intuition.h		*573
BarVBorder		intuition/intuition.h		*553
BaudRate		intuition/intuition.h		*628
BeamSync		graphics/gfxbase.h		*41
BeatX			intuition/intuition.h		*54
BeatY			intuition/intuition.h		*54
Before			graphics/gels.h			*119
BgPen			graphics/rastport.h		*53
BitMap			graphics/clip.h			 32  55 *55
			graphics/gfx.h			*34
			graphics/rastport.h		 46 *46
			graphics/view.h			 64 *64
			intuition/intuition.h		 131  526 *526  561
							*561  608
BlitLock		graphics/gfxbase.h		*48
BlitNest		graphics/gfxbase.h		*49
BlitOwner		graphics/gfxbase.h		*52
BlitWaitQ		graphics/gfxbase.h		*51
BlockPen		intuition/intuition.h		*443 *508 *567 *595
Bob			graphics/gels.h			 95 *106  119  120
							 160
BobComp			graphics/gels.h			*124
BobVSprite		graphics/gels.h			*122
BootBlock		devices/bootblock.h		*10
Border			intuition/intuition.h		 119 *307  313
BorderBottom		intuition/intuition.h		*423
BorderLeft		intuition/intuition.h		*423
BorderLine		graphics/gels.h			*89
BorderRPort		intuition/intuition.h		*424
BorderRight		intuition/intuition.h		*423
BorderTop		intuition/intuition.h		*423
BufBuffer		graphics/gels.h			*197
BufPath			graphics/gels.h			*193
BufX			graphics/gels.h			*192
BufY			graphics/gels.h			*192
Buffer			intuition/intuition.h		*273
BufferPos		intuition/intuition.h		*275
BytesPerRow		graphics/gfx.h			*35
CBD_CURRENTREADID	devices/clipboard.h		*20
CBD_CURRENTWRITEID	devices/clipboard.h		*21
CBD_POST		devices/clipboard.h		*19
CBERR_OBSOLETEID	devices/clipboard.h		*23
CBM_MPS1000		intuition/intuition.h		*724
CD_ASKKEYMAP		devices/console.h		*14
CD_SETKEYMAP		devices/console.h		*15
CEND()			graphics/gfxmacros.h		*38
CHAR			limits.h			*9
CHAR_BIT		limits.h			*8
CHAR_MIN		limits.h			*10
CHECKED			intuition/intuition.h		*98
CHECKIT			intuition/intuition.h		*84
CHECKWIDTH		intuition/intuition.h		*762
CHeight			intuition/intuition.h		*252
CIA			hardware/cia.h			*9
CIAANAME		resources/cia.h			*6
CIABNAME		resources/cia.h			*7
CIAB_COMCD		hardware/cia.h			*125
CIAB_COMCTS		hardware/cia.h			*126
CIAB_COMDSR		hardware/cia.h			*127
CIAB_COMDTR		hardware/cia.h			*123
CIAB_COMRTS		hardware/cia.h			*124
CIAB_DSKCHANGE		hardware/cia.h			*116
CIAB_DSKDIREC		hardware/cia.h			*139
CIAB_DSKMOTOR		hardware/cia.h			*133
CIAB_DSKPROT		hardware/cia.h			*115
CIAB_DSKRDY		hardware/cia.h			*113
